petri dish, petri dishes
solution, solutions
gel electrophoresis, gel electrophoreses
cell culture, cell cultures
protein, proteins
gene, genes
amino acid, amino acids
assay, assays
stem cell, stem cells
embryo, embryos
therapy, therapies
tumor, tumors
neuroblastoma, neuroblastomas
rectum, rectums
pathology, pathologies
crystal, crystals
dysfunction, dysfunctions
mutation, mutations
personality trait, personality traits
black hole, black holes
integrin, integrins
polymer, polymers
retinoblastoma, retinoblastomas
monoclonal antibody, monoclonal antibodies
